,female_violence_fraction,female_violence_counts,prostitution_fraction,prostitution_counts,avg_commute,male_epop,female_epop,female_violence_share,violence_per_capita,female_violence_share,relative_sex_crime,swnftemp,swnauthemp,rate
114,0.06437592410054209,20899.0,4.92853622474125e-05,16.0,21.10968627755756,0.44692891107006705,0.39811721550021995,0.5624360837504707,0.25895339842361637,0.5624360837504707,,,,0.31746031746031744
115,0.1782864193399974,85253.0,0.004312183696515954,2062.0,26.233328069524863,0.47454782396038897,0.42904339944051123,0.6482526309386216,0.15445470133652786,0.6482526309386216,0.009758257907252111,2842.0,3039.0,0.40051347881899874
116,,,,,28.09892003676472,0.3925176871504239,0.2910379692041313,,,,,,,0.34146341463414637
117,,,,,30.183289711181963,0.5036926574189168,0.42283922693426995,,,,0.005325625044202525,106902.0,111483.0,0.31221719457013575
118,0.08275767166643723,12028.0,0.0009150956378147785,133.0,25.07743013260016,0.5054339179761356,0.4724254616913478,0.5344352617079894,0.021797072029318458,0.5344352617079894,,,,0.3669008587041374
119,0.04975512811413156,1402.0,0.00021293207466818094,6.0,27.2361595675517,0.5561312537553968,0.5100498573265179,0.5243081525804033,0.0011889274131802877,0.5243081525804033,0.018051937407835478,7366.0,7466.0,0.3979706877113867
120,,,,,28.431511644558533,0.45008390067082116,0.3581015234920293,,,,0.006382760162994962,541.0,551.0,0.524671052631579
121,0.08108108108108113,24.0,0.0,0.0,22.968902762646987,0.4165898863651541,0.40364739410692735,0.6000000000000004,0.00035483642041019047,0.6000000000000004,,,,0.5
122,,,,,22.100393038799442,0.45996130154616244,0.43762596883346705,,,,,,,0.12121212121212122
123,0.12631002799511892,14077.0,0.0017407221305003235,194.0,23.890013280887608,0.44577396561956323,0.4012536922825282,0.6404167235339608,0.07886579073889356,0.6404167235339608,,,,0.16666666666666666
124,0.13643340745411697,65774.0,0.0009852809398957889,475.0,28.732496696628534,0.5296128986372464,0.4528963852027098,0.6223235658665361,0.0939200891472627,0.6223235658665361,0.009956848894870434,2695.0,2951.0,0.3238045738045738
125,0.12106475209970205,8937.0,0.0007450555405039281,55.0,26.319985951010484,0.49178288829491607,0.47736273768342263,0.5821012180029966,0.02615440176895269,0.5821012180029966,0.00565663648060593,1772.0,1826.0,0.33093525179856115
126,,,,,27.89240334563383,0.498904889166801,0.42131137562875776,,,,0.010783520121003448,3326.0,3669.0,0.5448717948717948
127,,,,,38.160828876098265,0.5123896791780286,0.4419365336103701,,,,0.007825515406741174,271445.0,275820.0,0.34533468559837727
128,,,,,26.92173203969375,0.3587982571071641,0.33080204189565177,,,,,,,0.0
129,0.09101556480197248,8859.0,0.0,0.0,23.934660930745846,0.5251151130591604,0.4394734227521108,0.5834815253902395,0.018461931310380063,0.5834815253902395,0.018151026945543616,2258.0,2463.0,0.41245136186770426
130,0.08564408564408554,244.0,0.0,0.0,,0.46745678623459486,0.4292180612660669,0.552036199095023,,0.552036199095023,,,,0.3333333333333333
131,0.09127959088364382,31468.0,0.002932619371531834,1011.0,22.139015605685692,0.5516415326660725,0.4877919554947244,0.595274577681933,0.09347332907782101,0.595274577681933,0.010737667527848193,1211.0,1235.0,0.4830508474576271
132,,,,,29.464078654688343,0.49966916427780717,0.44610068325007407,,,,0.00662913358638479,4060.0,4205.0,0.5113815318539728
133,,,,,27.141163918364647,0.5393032202394504,0.4426650415837002,,,,0.0058014248982925865,4940.0,5016.0,0.5146147032772365
134,,,,,25.668525344540182,0.43370640931126186,0.40588247811715294,,,,0.007882568123531978,872.0,900.0,0.37608318890814557
135,,,,,23.63759231996834,,,,,,,,,1.0
136,,,,,25.812094151400032,0.48725218540092063,0.41406863186608184,,,,,,,0.25609756097560976
137,0.11717666532456492,10477.0,0.00023486780297946567,21.0,31.20266619525507,0.49294622887991546,0.4528261183369239,0.5971842225262199,0.004365019533611699,0.5971842225262199,0.01470596685358431,9690.0,9786.0,0.38188976377952755
